2024-08-11 18:56:29,220, 76, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583561911593, Discriminator_Loss-train: 0.108195347491, Generator_Loss_val-val: 0.590661658954
2024-08-11 18:58:15,787, 77, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583548890423, Discriminator_Loss-train: 0.108122076748, Generator_Loss_val-val: 0.590723971897
2024-08-11 19:00:04,509, 78, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583531714279, Discriminator_Loss-train: 0.108047403433, Generator_Loss_val-val: 0.590798043861
2024-08-11 19:02:01,234, 79, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583516793519, Discriminator_Loss-train: 0.107979499665, Generator_Loss_val-val: 0.590878264130
2024-08-11 19:03:50,415, 80, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583501292253, Discriminator_Loss-train: 0.107906913265, Generator_Loss_val-val: 0.590957721462
2024-08-11 19:05:41,049, 81, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583485802654, Discriminator_Loss-train: 0.107837669959, Generator_Loss_val-val: 0.590986300812
2024-08-11 19:07:33,552, 82, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583469401361, Discriminator_Loss-train: 0.107767011405, Generator_Loss_val-val: 0.591025368197
2024-08-11 19:09:20,984, 83, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583455098971, Discriminator_Loss-train: 0.107694293044, Generator_Loss_val-val: 0.591091787218
2024-08-11 19:11:11,467, 84, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583443081948, Discriminator_Loss-train: 0.107628933433, Generator_Loss_val-val: 0.591149494096
2024-08-11 19:13:01,778, 85, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583421944205, Discriminator_Loss-train: 0.107567571186, Generator_Loss_val-val: 0.591217161715
2024-08-11 19:14:48,972, 86, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583401613569, Discriminator_Loss-train: 0.107510144707, Generator_Loss_val-val: 0.591292514747
2024-08-11 19:16:37,807, 87, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583380508683, Discriminator_Loss-train: 0.107449606743, Generator_Loss_val-val: 0.591363596848
2024-08-11 19:18:29,799, 88, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583370107299, Discriminator_Loss-train: 0.107389354265, Generator_Loss_val-val: 0.591429620431
2024-08-11 19:20:20,751, 89, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583355845705, Discriminator_Loss-train: 0.107330913830, Generator_Loss_val-val: 0.591496792130
2024-08-11 19:22:10,473, 90, lr_G: 0.000003, lr_D: 0.000003, Generator_Loss-train: 0.583340490774, Discriminator_Loss-train: 0.107271840459, Generator_Loss_val-val: 0.591514289793
2024-08-11 19:23:56,345, 91, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583319723302, Discriminator_Loss-train: 0.107215780415, Generator_Loss_val-val: 0.591546101189
2024-08-11 19:25:42,227, 92, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583305214731, Discriminator_Loss-train: 0.107157611256, Generator_Loss_val-val: 0.591582276130
2024-08-11 19:27:30,124, 93, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583290542099, Discriminator_Loss-train: 0.107099972086, Generator_Loss_val-val: 0.591659396787
2024-08-11 19:29:20,089, 94, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583274858096, Discriminator_Loss-train: 0.107044472743, Generator_Loss_val-val: 0.591728478987
2024-08-11 19:31:04,306, 95, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583257818843, Discriminator_Loss-train: 0.106992950826, Generator_Loss_val-val: 0.591756749251
2024-08-11 19:32:55,476, 96, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583246086796, Discriminator_Loss-train: 0.106937394373, Generator_Loss_val-val: 0.591828014430
2024-08-11 19:34:47,271, 97, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583233228900, Discriminator_Loss-train: 0.106885403735, Generator_Loss_val-val: 0.591881896724
2024-08-11 19:36:40,842, 98, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583224651980, Discriminator_Loss-train: 0.106835226739, Generator_Loss_val-val: 0.591934766012
2024-08-11 19:38:27,619, 99, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583208971231, Discriminator_Loss-train: 0.106785883334, Generator_Loss_val-val: 0.591942322563
2024-08-11 19:40:16,903, 100, lr_G: 0.000001, lr_D: 0.000001, Generator_Loss-train: 0.583193810937, Discriminator_Loss-train: 0.106738037456, Generator_Loss_val-val: 0.591976132132
