2024-07-05 19:09:46,039, 65, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009324299111, Generator_Loss-train: 0.629472024674, Registration_Loss_val-val: 0.013424121376Generator_Loss_val-val: 0.633467219362
2024-07-05 19:17:01,367, 66, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009306667791, Generator_Loss-train: 0.629453114377, Registration_Loss_val-val: 0.013416126578Generator_Loss_val-val: 0.633458861308
2024-07-05 19:24:16,295, 67, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009289281178, Generator_Loss-train: 0.629434827605, Registration_Loss_val-val: 0.013415905942Generator_Loss_val-val: 0.633458013621
2024-07-05 19:31:19,504, 68, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009272705769, Generator_Loss-train: 0.629418080571, Registration_Loss_val-val: 0.013410186532Generator_Loss_val-val: 0.633451245348
2024-07-05 19:38:28,177, 69, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009259537169, Generator_Loss-train: 0.629403977059, Registration_Loss_val-val: 0.013397416699Generator_Loss_val-val: 0.633436430616
2024-07-05 19:45:41,280, 70, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009243514091, Generator_Loss-train: 0.629386955798, Registration_Loss_val-val: 0.013381331908Generator_Loss_val-val: 0.633419029478
2024-07-05 19:53:05,593, 71, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009226355566, Generator_Loss-train: 0.629368256466, Registration_Loss_val-val: 0.013369730941Generator_Loss_val-val: 0.633406378441
2024-07-05 20:00:15,122, 72, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009210719434, Generator_Loss-train: 0.629351855788, Registration_Loss_val-val: 0.013358429721Generator_Loss_val-val: 0.633394116053
2024-07-05 20:07:19,960, 73, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009194953761, Generator_Loss-train: 0.629335291266, Registration_Loss_val-val: 0.013349739283Generator_Loss_val-val: 0.633383639628
2024-07-05 20:14:33,106, 74, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009179044800, Generator_Loss-train: 0.629319298696, Registration_Loss_val-val: 0.013348374978Generator_Loss_val-val: 0.633383258146
